,3,1,199999,99919,919999,999919,2,2,1,1,1,1,2,12,2,06,07,1,1,2,4,03,0,3,0,4,1,1,6,2,1,3,04,99999,2,17,  ,04,03,11, ,04,1,1,9999, ,1,01,405097,024278709,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,2,2,12,2,05,02,1,1,1,4,03,0,3,0,4,2,1,3,2,1,1,99,01500,1,99,  ,30,02,07, ,08,1,1,0375, ,1,01,414180,017327374,0,0,0,0,0,0
,3,1,999919,99919,919999,999919,2,2,2,4,3,5,2,11,2,04,04,2,9,2,3,02,0,3,0,4,1,1,2,1,1,1,99,01000,1,99,  ,30,02,07, ,07,1,1,0333, ,1,02,368502,019974612,0,0,0,0,0,0
,3,1,999919,99919,919999,999919,2,2,2,4,1,1,2,11,2,04,05,2,9,2,4,03,0,3,0,4,1,1,3,2,1,3,03,99999,1,99,  ,04,02,11, ,07,1,1,9999, ,1,02,848057,014862625,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,4,2,1,2,05,1,02,04,2,9,2,5,04,0,3,0,4,1,1,2,2,1,1,99,01400,2,99,  ,80,03,07, ,01,1,1,0280, ,1,02,066484,021695080,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,1,2,10,2,03,05,2,9,2,5,04,0,3,0,4,1,1,3,2,1,1,99,01500,1,99,  ,30,02,07, ,07,1,1,0300, ,1,02,417466,018187041,0,0,0,0,0,0
,3,1,999919,99919,919999,999919,2,2,2,2,2,1,2,10,2,03,03,2,9,2,4,03,0,3,0,4,1,1,2,2,1,1,99,01400,1,99,  ,30,02,07, ,07,1,1,0350, ,1,02,439392,021604335,0,0,0,0,0,0
,3,1,888888,99919,991999,999919,2,2,2,2,2,1,2,05,2,02,04,2,9,2,3,02,0,3,0,4,2,1,3,2,1,1,99,00900,2,99,  ,80,12,07, ,08,1,1,0300, ,1,02,951530,022559005,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,1,2,11,2,04,04,2,9,2,4,03,0,3,0,4,1,1,2,2,1,3,04,99999,1,99,  ,04,02,11, ,09,1,1,9999, ,1,02,044395,016155228,0,0,0,0,0,0
,3,1,999991,99919,999991,999991,8,1,2,4,2,3,2,03,3,01,02,2,9,2,6,04,0,3,0,4,2,1,3,2,1,2,99,99999,2,99,  ,03,13,05, ,01,1,1,9999, ,8,02,907099,019974612,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,2,2,12,2,05,06,1,1,1,3,02,0,3,0,4,2,1,2,2,1,1,99,00300,2,20,  ,21,03,07, ,02,1,1,0100, ,1,02,110241,021604335,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,1,2,11,2,05,05,1,2,2,3,02,0,3,0,4,1,1,5,2,1,1,99,00900,1,99,  ,30,03,07, ,07,1,1,0300, ,1,02,535580,018187041,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,4,3,4,2,05,2,02,04,2,9,2,5,04,0,3,0,4,2,1,3,2,1,3,12,99999,2,14,  ,04,03,11, ,01,1,1,9999, ,1,02,439105,021695080,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,5,2,11,2,05,03,1,1,2,3,02,0,3,0,4,1,1,1,2,1,3,03,99999,2,20,  ,04,02,11, ,07,1,1,9999, ,1,02,279920,014862625,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,4,2,07,1,02,03,2,9,8,4,03,0,3,0,4,2,8,1,8,8,1,99,01450,2,99,  ,80,12,07, ,07,1,1,0362, ,1,02,243211,014862625,0,0,1,1,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,1,4,2,05,1,02,04,2,9,2,4,03,0,3,0,4,2,1,6,2,1,3,03,99999,2,99,  ,04,12,11, ,02,1,1,9999, ,1,02,434879,018187041,0,0,0,0,0,0
,3,1,999919,99919,919999,999919,2,2,2,2,2,1,2,11,2,04,02,2,9,2,2,02,0,3,0,4,1,1,2,2,1,3,03,99999,1,99,  ,04,02,11, ,08,1,1,9999, ,1,02,796548,017068640,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,3,4,2,03,1,01,03,2,9,2,6,05,0,3,0,4,1,1,2,2,1,1,99,01500,2,99,  ,80,13,07, ,09,1,1,0250, ,1,02,944484,014862625,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,3,5,2,09,2,03,05,2,9,2,4,03,0,3,0,4,1,4,6,2,1,3,06,99999,2,99,  ,04,01,11, ,08,1,1,9999, ,1,02,277022,018187041,0,1,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,1,5,2,12,2,04,01,1,2,2,3,02,0,3,0,4,1,1,3,2,1,1,99,01426,2,99,  ,30,02,07, ,08,1,1,0475, ,1,02,714711,019974612,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,1,2,13,2,05,06,1,1,1,3,02,0,3,0,4,3,1,2,2,1,3,03,99999,1,99,  ,04,03,11, ,01,1,1,9999, ,1,02,192081,019974612,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,1,2,13,2,05,06,1,1,1,3,02,0,3,0,4,3,1,5,2,1,1,99,01000,1,99,  ,31,03,07, ,01,1,1,0333, ,1,02,313594,018187041,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,2,2,13,2,05,05,1,1,1,3,02,0,3,0,4,1,1,4,2,1,1,99,00285,1,12,  ,05,03,06, ,05,1,1,0095, ,1,02,878372,019974612,0,0,0,0,0,0
,3,1,999919,99919,991999,999991,2,2,2,4,2,8,2,03,2,01,02,2,9,2,4,03,0,3,0,4,1,1,4,2,1,3,03,99999,2,99,  ,04,13,11, ,07,1,1,9999, ,1,02,534295,014862625,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,5,2,11,2,04,06,2,9,2,3,02,0,3,0,4,1,1,1,2,1,1,99,00975,1,99,  ,30,02,07, ,09,1,1,0325, ,1,02,175447,014862625,0,0,0,0,0,0
,3,1,999919,99919,919999,999919,2,2,1,1,1,5,2,13,2,07,07,1,1,2,3,02,0,3,0,4,1,3,5,1,3,2,99,99999,2,99,  ,07,03,05, ,05,1,1,9999, ,1,03,674839,016930996,0,0,0,0,0,0
,3,1,999919,91999,991999,999199,2,2,2,4,1,1,2,11,2,05,02,2,9,2,3,02,0,3,0,4,1,3,1,1,3,3,08,99999,2,99,  ,04,02,11, ,08,1,1,9999, ,1,03,881153,018934403,0,0,0,0,0,0
,3,1,999919,99919,991999,999199,2,8,2,4,1,1,2,11,2,05,03,2,9,2,3,02,0,3,0,4,1,3,3,1,3,3,08,99999,2,99,  ,04,02,11, ,08,1,1,9999, ,1,03,431320,016930996,0,0,0,0,0,0
,3,1,999919,99919,919999,191999,2,2,2,2,1,1,2,11,2,05,04,1,2,2,4,03,0,3,0,4,4,1,4,2,1,3,03,99999,1,99,  ,04,02,11, ,08,1,1,9999, ,1,03,909555,017323977,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,1,2,11,2,04,03,2,9,2,3,02,0,3,0,4,1,1,4,2,1,3,04,99999,1,99,  ,04,02,11, ,08,1,1,9999, ,1,03,607854,020434653,0,0,1,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,1,8,2,11,2,04,06,2,9,2,3,02,0,3,0,4,1,1,4,2,1,1,99,00750,1,99,  ,30,02,07, ,08,1,1,0250, ,1,03,191145,016913676,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,1,2,12,2,05,05,1,2,2,2,02,0,3,0,4,3,1,2,2,1,3,01,99999,1,99,  ,04,03,11, ,07,1,1,9999, ,1,03,474715,018934403,0,0,0,0,0,0
,3,1,199999,91999,919999,991199,2,2,3,4,1,1,2,12,2,04,06,2,9,2,3,02,0,3,0,4,2,1,2,2,1,1,99,00700,2,99,  ,30,02,07, ,08,1,1,0233, ,1,03,299299,021755028,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,1,2,2,11,2,03,05,2,9,2,4,03,0,3,0,4,2,1,1,2,1,3,04,99999,1,99,  ,04,02,11, ,08,1,1,9999, ,1,03,191251,018934403,0,0,0,0,0,0
